Al,Si,Mg,Zn,Cu,Mn,Fe,Ti,Sr,Sc,UTS,YS,EL,Reference
92.6,7,0.4,0,0,0,0,0,0,0,198.2,89.5,8.2,[1]
92.5985,7,0.4,0,0,0,0,0,0.0015,0,210.5,94.1,10.8,[1]
92.5965,7,0.4,0,0,0,0,0,0.0035,0,207.3,95.8,11.3,[1]
92.595,7,0.4,0,0,0,0,0,0.005,0,209.2,98.5,12.6,[1]
92.5925,7,0.4,0,0,0,0,0,0.0075,0,208.8,96.7,12.7,[1]
92.59,7,0.4,0,0,0,0,0,0.01,0,207,92.3,12.6,[1]
92.575,7,0.4,0,0,0,0,0,0.025,0,203.2,91,12.9,[1]
92.55,7,0.4,0,0,0,0,0,0.05,0,198.9,89.4,13.9,[1]
92.527,7,0.4,0,0,0,0,0,0.073,0,201.3,93.2,13,[1]
92.5,7,0.4,0,0,0,0,0,0.1,0,199.5,92.7,13.5,[1]
92.475,7,0.4,0,0,0,0,0,0.125,0,200.5,91.7,12.9,[1]
92.66,6.9,0.44,0,0,0,0,0,0,0,201.4,106.4,4.6,[2]
92.45,6.9,0.44,0,0,0,0,0,0,0.21,213.2,127.6,4.6,[2]
92.25,6.9,0.44,0,0,0,0,0,0,0.41,234.8,148.1,5.4,[2]
92.12,6.9,0.44,0,0,0,0,0,0,0.54,239.1,153.2,5.3,[2]
92.01,6.9,0.44,0,0,0,0,0,0,0.65,238.5,148.8,3.9,[2]
91.91,6.9,0.44,0,0,0,0,0,0,0.75,238.3,147.6,3.6,[2]
92.535,7,0.45,0,0,0,0,0.01,0.005,0,173.42,91.6,7.4,[3]
92.515,7,0.45,0,0,0,0,0.03,0.005,0,179.54,98.4,8.7,[3]
92.495,7,0.45,0,0,0,0,0.05,0.005,0,193.2,98.3,12,[3]
92.465,7,0.45,0,0,0,0,0.08,0.005,0,199.6,101.6,12.3,[3]
92.395,7,0.45,0,0,0,0,0.15,0.005,0,191,100,8.4,[3]
92.345,7,0.45,0,0,0,0,0.2,0.005,0,190,103.9,7.6,[3]
91.98,7,0.45,0,0,0,0,0,0.03,0.54,238,134,7,[4]
91.91,7,0.45,0,0,0,0,0,0.1,0.54,233,132,7,[4]
92.434,7,0.45,0,0,0,0,0.075,0.005,0.036,211,101,13,[4]
92.27,7,0.45,0,0,0,0,0.075,0.005,0.2,220,113,13,[4]
92.07,7,0.45,0,0,0,0,0.075,0.005,0.4,243,134,11,[4]
91.92,7,0.45,0,0,0,0,0.075,0.005,0.55,253,140,11,[4]
91.82,7,0.45,0,0,0,0,0.075,0.005,0.65,242,138,10,[4]
91.71,7,0.45,0,0,0,0,0.075,0.005,0.76,244,138,9,[4]
91.9,7,0.45,0,0,0,0,0.095,0.005,0.55,264,149,10,[4]
91.795,7,0.45,0,0,0,0,0.2,0.005,0.55,266,151,8,[4]
